-AFG|15
1|Arezo
2|Aynama
4|Diana
5|Lidaa
6|Masooma
7|Mursal
8|Nahid
9|Nargis
10|Niloofar
11|Noorul Huda
12|Samira
13|Setareh
14|Sominaa
15|Tamima
-AHO|37
1|Ailen Oriana
2|Amerryesche
3|Amy
4|Argeenie
5|Arona
6|Arshanti
7|Arzy Zahia
8|Benigna
9|Daniela
10|Ebony
11|Elvira
12|Eveline
13|Fausthyara
14|Fiona
15|Gabrielle
16|Janeskah
17|Jayda
18|Lorna
19|Maria Elisabeth
20|Mariana
21|Marisa
22|Marla
23|Nadiniela
24|Nicole
25|Quileen
26|Roxanne
27|Ruedi
28|Seydi
29|Shandaira
30|Tahis
31|Taqesyah
32|Tiffany
33|Tivony
34|Tsarina
35|Vienna
36|Xenia
37|Ysatis
-ALB|24
1|Albana
2|Alda
3|Almira
4|Arta
5|Bruna
6|Daniela
7|Eglantina
8|Elisa
9|Erisa
10|Ingrit
11|Irida
12|Jeta
13|Klean
14|Klejdia
15|Liri
16|Majlinda
18|Olta
19|Roela
21|Rozana
22|Solina
23|Suzana
24|Zerina
-ALG|499
1|Abdelaziz
2|Abir
3|Abla
4|Afnane
6|Ahlem
7|Aicha
8|Akila
9|Alicia Liliana
10|Alycia
11|Amani
13|Amel
18|Amina
19|Amina Rayen
24|Amira
25|Anais
26|Anes
27|Anfel
28|Anibal
29|Anil
31|Anissa
37|Asma
43|Assia
44|Atika
49|Aya
50|Ayamaylina
51|Bouchra
52|Bouteina
53|Camelia
54|Cerina
55|Cerine
56|Chahinaz
57|Chahinez
58|Chahrazed
60|Chaima
61|Chanez
62|Chems Assala
64|Chiraz
65|Cilina
69|Dahbia
72|Dalia
74|Dana
75|Dania
76|Dina
78|Djamila
79|Djihane
80|Djouher
81|Doha
82|Doria
84|Dounya
85|Dyhia
86|Esma
87|Fadhila
88|Fadia
89|Fadwa
90|Fahima
91|Fairouz
92|Farah
94|Farida
96|Fatiha
97|Fatima
98|Fatima Ezahra
101|Fatima Zohra
102|Fatima Zorah
103|Fatma
104|Fazia
105|Feila
110|Feriel
111|Ferroudja
112|Ghada
113|Ghalia
114|Ghazal
115|Ghizlene
117|Hadil
122|Hadjer
124|Hadjira
125|Hafida
126|Hafsa
127|Hakima
128|Halima
129|Hana
131|Hanane
132|Hania
133|Hanine
134|Hassiba
135|Hayam
136|Hayam Ines
137|Hayat
139|Hayet
141|Hiba
142|Hiba Yamina
143|Hibaterrahmane
144|Hoda
147|Houda
150|Houria
151|Ibtissem
152|Ichrak
153|Ihab
154|Ihsane
155|Ihsen
156|Ikbal Awatif
161|Ikram
162|Ikram Kaouter
163|Ilham
164|Ilina
165|Iman
173|Imane
174|Imen
183|Imene
189|Ines
190|Ines Belkis
191|Insaf
192|Ismahane
193|Jihene
197|Kahina
198|Kamelia
199|Kaouthar
205|Karima
206|Karine
209|Katia
210|Keltoum
215|Kenza
216|Khadidja
217|Khadija
218|Khadouja
220|Khalida
221|Khaoula
222|Kholoud
224|Khouloud
226|Lamia
227|Lamiya
228|Latifa
229|Leatitia
230|Lehna
231|Leila
233|Leticia
234|Lila
235|Lila Sarah
239|Lilia
240|Lilla
241|Lim Hind
255|Lina
256|Lina Manel
260|Linda
261|Loubna
263|Louiza
265|Lycia
266|Lydia
267|Lydia Djihane
270|Lylia
276|Lyna
282|Lynda
283|Madia
286|Malak
287|Malak Kelthoum
289|Malek
293|Malika
296|Manal
299|Manel
309|Maria
312|Maroua
313|Marwa
314|Maya
315|Maya Malek
318|Melissa
322|Meriem
323|Messad
324|Messaouda
325|Mona
326|Mouna Naila
327|Mounia
328|Mounira
329|Myriam
332|Nabila
333|Nacera
334|Nada
335|Nada Errayhane
336|Nadia
337|Nafissa
338|Naila
339|Naila Nour
340|Narimane
341|Narimene
342|Nasrine
343|Nassiba
344|Nassila
346|Nassima
347|Neila
356|Nesrine
358|Nihad
359|Nihed
360|Nihel
361|Nour
363|Nour El Houda
365|Nour Elhouda
366|Nourhane
367|Nourhene
368|Nouria
369|Ouahiba
370|Ouarda
371|Ouerdia
372|Oujdane Rayen
373|Rabia
376|Rania
381|Rayane
382|Rayene
383|Rayene Nour
384|Razane
385|Razika
386|Rihame
387|Rima
388|Rizlene
389|Romaissa
390|Roumaissa
393|Ryma
394|Saadia
402|Sabrina
403|Saida
405|Salima
406|Salwa
407|Samah Dimia
409|Samara
410|Samia
414|Samira
416|Sana
418|Sanaa
419|Sandos
420|Sandra
425|Sara
432|Sarah
433|Saram
434|Sarra
435|Schahinez
438|Selma
439|Selsabil
440|Sena
442|Serine
443|Shahenaz Kenza
444|Siham Soumeya
447|Sihem
449|Sirine
451|Sofia
452|Soraya
453|Souad
455|Souha
456|Souhila
457|Soumaia
459|Soumia
460|Soundous
461|Taouas
463|Thileli
464|Thiziri
467|Tinhinane
468|Warda
469|Widad
472|Wissam
473|Wissem
474|Yamanda
475|Yamina
476|Yara
485|Yasmine
486|Yassamine
487|Yassmine
492|Yousra
493|Zahoua
494|Zahra
496|Zineb
497|Zineb Dina
498|Zohra
499|Zoubida
-AND|16
1|Ainhoa
2|Aitana
3|Alba
4|Ariadna
5|Carolina
6|Clara
7|Diana
8|Emma
9|Ingrid
10|Jana
11|Judith
12|Julia
13|Laia
14|Maria
15|Meritxell
16|Silvia
-ANG|130
2|Adelina
4|Albertina
5|Alcione
6|Alexandra
7|Ana
8|Ana Dos
9|Anabela
11|Analtina
12|Andrea
14|Angela
15|Angelina
16|Antonica
17|Apolicartea
18|Armando
19|Bitia
20|Branca
21|Carla
22|Carol
23|Celestina
24|Cheldra
25|Claudia Vandunen
27|Clementina
28|Dalila
29|Delfina
30|Denise
31|Dionisia
32|Divalda
33|Djamila
35|Domingas
36|Edivania
37|Edna
38|Ednasia
39|Eliana Da
40|Eliane Jandira
41|Emilia
42|Emingarda
43|Engracia
44|Engracia De
45|Esperanca
46|Eulalia
47|Eunice
49|Fatima
50|Felismina
51|Felizmina
52|Filomena
53|Fina
54|Flora
55|Gemima
56|Helga
57|Henriquieta
58|Irineia G.
61|Isabel
62|Janete
63|Janeth
64|Jessica
65|Jesumora
66|Joana
67|Joselene
69|Josiana
70|Jossy Da
71|Jovita Agata
